Month;crash_day_no_year;total_crash;day_only
August;08-18;27,0000000000000;18
August;08-19;28,4285714285714;19
August;08-20;32,8571428571429;20
August;08-21;32,0000000000000;21
August;08-22;27,7142857142857;22
August;08-23;29,4285714285714;23
August;08-24;29,8571428571429;24
August;08-25;29,7142857142857;25
August;08-26;25,2857142857143;26
August;08-27;27,7142857142857;27
August;08-28;27,4285714285714;28
August;08-29;33,1428571428571;29
August;08-30;32,1428571428571;30
August;08-31;34,1428571428571;31
September;09-01;33,5714285714286;01
September;09-02;33,5714285714286;02
September;09-03;30,1428571428571;03
September;09-04;27,7142857142857;04
September;09-05;29,7142857142857;05
September;09-06;33,7142857142857;06
September;09-07;33,2857142857143;07
September;09-08;28,0000000000000;08
September;09-09;31,7142857142857;09
September;09-10;30,7142857142857;10
September;09-11;35,4285714285714;11
September;09-12;32,1428571428571;12
September;09-13;36,1428571428571;13
September;09-14;30,8571428571429;14
September;09-15;31,4285714285714;15
September;09-16;34,0000000000000;16
September;09-17;33,8571428571429;17
September;09-18;30,7142857142857;18
September;09-19;38,4285714285714;19
September;09-20;34,0000000000000;20
September;09-21;30,2857142857143;21
September;09-22;39,8571428571429;22
September;09-23;33,2857142857143;23
September;09-24;35,2857142857143;24
September;09-25;34,7142857142857;25
September;09-26;28,5714285714286;26
September;09-27;33,4285714285714;27
September;09-28;37,2857142857143;28
September;09-29;38,7142857142857;29
September;09-30;35,7142857142857;30
October;10-01;36,5714285714286;01
October;10-02;34,8571428571429;02
October;10-03;32,2857142857143;03
October;10-04;35,2857142857143;04
October;10-05;32,5714285714286;05
October;10-06;33,5714285714286;06
October;10-07;34,5714285714286;07
October;10-08;32,4285714285714;08
October;10-09;33,0000000000000;09
October;10-10;35,2857142857143;10
October;10-11;37,5714285714286;11
October;10-12;33,4285714285714;12
October;10-13;35,1428571428571;13
October;10-14;33,1428571428571;14
October;10-15;37,4285714285714;15
October;10-16;34,7142857142857;16
October;10-17;33,1428571428571;17
October;10-18;34,0000000000000;18
October;10-19;30,5714285714286;19
October;10-20;37,1428571428571;20
October;10-21;35,7142857142857;21
October;10-22;35,8571428571429;22
October;10-23;34,4285714285714;23
October;10-24;35,2857142857143;24
October;10-25;32,8571428571429;25
October;10-26;36,0000000000000;26
October;10-27;36,5714285714286;27
October;10-28;38,5714285714286;28
October;10-29;36,2857142857143;29
October;10-30;37,4285714285714;30
October;10-31;41,7142857142857;31
November;11-01;35,0000000000000;01
November;11-02;36,0000000000000;02
November;11-03;38,1428571428571;03
November;11-04;34,7142857142857;04
November;11-05;37,7142857142857;05
November;11-06;33,8571428571429;06
November;11-07;38,5714285714286;07
November;11-08;33,2857142857143;08
November;11-09;39,5714285714286;09
November;11-10;40,2857142857143;10
November;11-11;28,0000000000000;11
November;11-12;36,1428571428571;12
November;11-13;36,2857142857143;13
November;11-14;33,1428571428571;14
November;11-15;38,7142857142857;15
November;11-16;34,7142857142857;16
November;11-17;30,5714285714286;17
November;11-18;32,7142857142857;18
November;11-19;33,1428571428571;19
November;11-20;32,1428571428571;20
November;11-21;36,2857142857143;21
November;11-22;32,7142857142857;22
November;11-23;30,4285714285714;23
November;11-24;29,4285714285714;24
November;11-25;28,2857142857143;25
November;11-26;22,2857142857143;26
November;11-27;29,0000000000000;27
November;11-28;31,8571428571429;28
November;11-29;33,4285714285714;29
November;11-30;37,4285714285714;30
December;12-01;39,7142857142857;01
December;12-02;36,5714285714286;02
December;12-03;32,1428571428571;03
December;12-04;29,5714285714286;04
December;12-05;35,7142857142857;05
December;12-06;37,1428571428571;06
December;12-07;39,1428571428571;07
December;12-08;27,5714285714286;08
December;12-09;36,8571428571429;09
December;12-10;34,0000000000000;10
December;12-11;31,5714285714286;11
December;12-12;31,2857142857143;12
December;12-13;34,8571428571429;13
December;12-14;40,4285714285714;14
December;12-15;38,1428571428571;15
December;12-16;34,1428571428571;16
December;12-17;39,5714285714286;17
December;12-18;34,1428571428571;18
December;12-19;39,5714285714286;19
December;12-20;34,5714285714286;20
December;12-21;43,0000000000000;21
December;12-22;38,1428571428571;22
December;12-23;39,0000000000000;23
December;12-24;31,4285714285714;24
December;12-25;18,1428571428571;25
December;12-26;22,0000000000000;26
December;12-27;28,5714285714286;27
December;12-28;25,5714285714286;28
December;12-29;27,5714285714286;29
December;12-30;33,5714285714286;30
December;12-31;25,5714285714286;31
